Title,json_url,Download_number,Published_Date,Updated_Date
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of April 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=04&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of May 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=05&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of September 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=09&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of October 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=10&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of December 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=12&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of Gujarat for the month of May 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=05&Year=2015,3,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Chhota Udaipur district of Gujarat for the month of June 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=06&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Chhota Udaipur district of Gujarat for the month of July 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=07&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Chhota Udaipur district of Gujarat for the month of August 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=08&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Chhota Udaipur district of Gujarat for the month of November 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=11&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Anand district of Gujarat for the month of May 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=05&Year=2015,2,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Anand district of Gujarat for the month of September 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=09&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Anand district of Gujarat for the month of November 2015,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=11&Year=2015,1,24/04/2017,24/04/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of Gujarat for the month of December 2016,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=12&Year=2016,6,03/05/2017,03/05/2017
Farmers Queries in Kisan Call Centre (KCC) from Chhota Udaipur district of Gujarat for the month of April 2016,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=04&Year=2016,6,03/05/2017,03/05/2017
