Name,Web_Code,Review
"BOSCH WUU28T40 Waschmaschine (Frontlader, unterbaufähig, 8 kg, C, 1400 U/Min, Serie 6)",32008160010,4.6
"EXQUISIT WA7014-060D Waschmaschine (Frontlader, freistehend, 7 kg, D, 1.330 U/Min)",32007001357,4.4
"BOSCH WGB2560X0 Silber-inox Waschmaschine (Frontlader, freistehend, 10 kg, A, 1600 U/Min, Serie 8)",32008227010,5.0
"BEKO WMC91464ST1 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, Bluetooth, Tierhaarentfernung)",32008020183,0.0
"AEG LR8E70489 Waschmaschine (Frontlader, freistehend, 8 kg, A, 1400 U/Min)",32008140500,5.0
"MIELE WWH 860 WPS GreenPerformance Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.400 U/Min)",32008120042,5.0
"BAUKNECHT WMT Pro Eco 6ZB Waschmaschine (Toplader, freistehend, 6 kg, B, 1.151 U/Min)",32002047017,0.0
"BOSCH WGG244010 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, Serie 6)",32008152010,4.0
"MIELE WW630WPM Waschmaschine (Toplader, freistehend, 6 kg, C, 1.200 U/Min)",32002006042,0.0
"AEG L7TSE80569 Waschmaschine (Frontlader, freistehend, 6 kg, A, 1.500 U/Min, ÖKO Lavamat, Serie 7000)",32002050500,2.5
"BOSCH WAV28E43 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1400 U/min, HomeProfessional, i-Dos, WLAN, HomeConnect)",32008122010,4.8
"Siemens WM14NK23 Waschmaschine (Frontlader, freistehend, 8 kg, A, 1400 U/Min, iQ300)",32008163057,4.0
"Samsung WW11BBA049ABEG Waschmaschine (Frontlader, freistehend, 11 kg, A, 1.400 U/Min, WW5000B, BESPOKE)",32008066743,5.0
"AEG L7TL720EX Waschmaschine (Toplader, freistehend, 7 kg, C, 1.251 U/Min, Serie 7000, LAVAMAT)",32002037500,0.0
"Grundig GW7P79419W Waschmaschine (Frontlader, freistehend, 9 kg, 1.400 U/Min)",32008004888,0.0
"HAIER HW90-BP14939 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, Serie 39)",32008053408,0.0
"BOSCH WAN28K43 Waschmaschine (Frontlader, freistehend, 8 kg, A, 1400 U/Min, Serie 4)",32008162010,5.0
"BAUKNECHT WAT 619 C EX Waschmaschine (Toplader, freistehend, 6 kg, C, 1.151 U/Min)",32002048017,0.0
"AEG L7TL720EX Waschmaschine (Toplader, freistehend, 7 kg, C, 1300 U/Min)",32002049500,4.3
"AMICA WT 461 700 Waschmaschine (Toplader, freistehend, 6 kg, D, 1.000 U/Min)",32002000143,0.0
"MIELE WEG675 WPS TDos&9kg Waschmaschine (EEK A, 1400 U/min, 9 kg Fassungsvermögen, Waterproof-System, TwinDos, WiFiConn@ct)",32008108042,0.0
"MIELE WEG 375 WPS P Wash & 9kg Waschmaschine (Frontlader, freistehend, 9 kg, A, 1400 U/Min, Schontrommel, PowerWash, CapDosing)",32008078042,0.0
"HAIER HW80-BP1439N Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.400 U/Min, Dampf-Funktion, Produktreihe 39)",32008023408,5.0
"BAUKNECHT WAT Prime 550 SD N Waschmaschine (Toplader, freistehend, 5,5 kg, E, 951 U/Min)",32002042017,5.0
"BAUKNECHT WAT 612 ZEN EX N Waschmaschine (Toplader, freistehend, 6 kg, C, 1.151 U/Min)",32002046017,0.0
"MIELE WEI875 WPS PWash&TDos&9kg Waschmaschine (Frontlader, freistehend, 9 kg, A, 1600 U/min, Waterproof-System)",32008109042,5.0
"LG F4WV4095 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.360 U/Min, Serie 3)",32008131369,3.7
